the_x the_y the_z
0.0 0.0 0.0
0.08 0.0799146939692 0.479222318575
0.32 0.314566560616 1.31350525896
0.72 0.659384671971 0.414263611661
1.28 0.958015860289 -0.0196356058568
2.0 0.909297426826 -0.0899576777
2.88 0.258619349661 1.22960138324
3.92 -0.702146288731 -0.251544550947
5.12 -0.918070474669 0.0819084441959
6.48 0.195546515101 1.03976695738
8.0 0.989358246623 0.0580880249886
9.68 -0.252460261628 -1.21538601684
11.52 -0.865611639308 0.0999650023866
13.52 0.815521295079 -0.0519948632019
15.68 0.0279596238049 0.171177911958
18.0 -0.750987246772 -0.0927447296386
20.48 0.998221600228 0.0845098735909
23.12 -0.903921542081 0.0938859038621
25.92 0.708421204927 0.229265686292
28.88 -0.569309833234 -0.782989529379
32.0 0.551426681242 0.853874316701
35.28 -0.66124772855 -0.40685408167
38.72 0.8525725169 -0.0934159435028
42.32 -0.99581671955 -0.0771518377421
46.08 0.864366795454 -0.0995257229768
50.0 -0.262374853704 -1.23779213312
54.08 -0.623275918857 -0.561270150842
58.32 0.979959968509 0.0321832712616
62.72 -0.111619983312 -0.654385801814
67.28 -0.965290737205 0.00381796360764
72.0 0.253823362762 1.21861554428
76.88 0.996040334568 0.0778301084501
81.92 0.236333782197 1.1736180308
87.12 -0.747701775187 -0.102265388787
92.48 -0.980661446907 -0.0340408584362
98.0 -0.57338187199 -0.766569389871
103.68 -0.00744236283124 -0.0456867787032
109.52 0.42208397669 1.24814429895
115.52 0.658578495083 0.417476861404
121.68 0.74605213183 0.107115376518
128.0 0.721037710502 0.186009466335
134.48 0.571624301513 0.773667545806
141.12 0.249021127333 1.20702798271
147.92 -0.262049475259 -1.23709684079
154.88 -0.808712517803 0.0408681018087
162.0 -0.978450350793 -0.0282274575377
169.28 -0.357886315291 -1.32199270502
176.72 0.710924137883 0.220516519855
184.32 0.859334300401 -0.097348361266
192.08 -0.428514585285 -1.23549884444
200.0 -0.873297297214 0.101799139375
208.08 0.67050173908 0.37041242186
216.32 0.434869271756 1.22213658598
224.72 -0.99538352275 -0.0758413154378
233.28 0.718847926008 0.193362395546
242.0 -0.0972119075182 -0.576347119661
250.88 -0.432633981885 -1.22693367279
259.92 0.739407745184 0.127110320814
269.12 -0.870869317265 0.101383468688
278.48 0.900859844934 -0.0957825462551
288.0 -0.855504370751 0.0952621018835
297.68 0.697069433279 0.269914155945
307.52 -0.348602869083 -1.32427668598
317.52 -0.217392210577 -1.11635506875
327.68 0.815946231616 -0.0526542842188
338.0 -0.961389196822 0.0124702885731
348.48 0.234578112811 1.16867873208
359.12 0.829626004169 -0.0716410028547
369.92 -0.708896994872 -0.227596369527
380.88 -0.679652587187 -0.335044146428
392.0 0.643515060153 0.478202665582
403.28 0.915254969206 -0.0847132032207
414.72 0.029765329172 0.182162962421
426.32 -0.805548683594 0.0353423864895
438.08 -0.98521443426 -0.046396110268
450.0 -0.683283725036 -0.321215510786
462.08 -0.26275837306 -1.23860816196
474.32 0.0604538083188 0.366210018378
486.72 0.22492036514 1.14015532496
499.28 0.231123140062 1.15873682362
512.0 0.0795184940129 0.476958223618
524.88 -0.231896473568 -1.1609876258
537.92 -0.65005456116 -0.451691225871
551.12 -0.973777826709 -0.0163467576031
564.48 -0.845060144685 0.0877077366655
578.0 -0.0530233833456 -0.322202118426
591.68 0.872639430876 -0.10170149392
605.52 0.722479686183 0.181204491032
619.52 -0.586108285506 -0.714746900355
633.68 -0.796640050724 0.0185963085666
648.0 0.739221300182 0.127681836798
662.48 0.385777037508 1.30205970196
677.12 -0.99430409474 -0.0725956341312
691.92 0.695859660606 0.274334995214
706.88 -0.0216512503395 -0.13270910551
722.0 -0.536522042161 -0.911033060814
737.28 0.838363214529 -0.0814461197061
752.72 -0.952772029189 0.0301901022442
768.32 0.979947957548 0.0321515722464
784.08 -0.968257666916 -0.00302268057734
