the_x the_y
0.0 0.0
0.08 0.0799146939692
0.32 0.314566560616
0.72 0.659384671971
1.28 0.958015860289
2.0 0.909297426826
2.88 0.258619349661
3.92 -0.702146288731
5.12 -0.918070474669
6.48 0.195546515101
8.0 0.989358246623
9.68 -0.252460261628
11.52 -0.865611639308
13.52 0.815521295079
15.68 0.0279596238049
18.0 -0.750987246772
20.48 0.998221600228
23.12 -0.903921542081
25.92 0.708421204927
28.88 -0.569309833234
32.0 0.551426681242
35.28 -0.66124772855
38.72 0.8525725169
42.32 -0.99581671955
46.08 0.864366795454
50.0 -0.262374853704
54.08 -0.623275918857
58.32 0.979959968509
62.72 -0.111619983312
67.28 -0.965290737205
72.0 0.253823362762
76.88 0.996040334568
81.92 0.236333782197
87.12 -0.747701775187
92.48 -0.980661446907
98.0 -0.57338187199
103.68 -0.00744236283124
109.52 0.42208397669
115.52 0.658578495083
121.68 0.74605213183
128.0 0.721037710502
134.48 0.571624301513
141.12 0.249021127333
147.92 -0.262049475259
154.88 -0.808712517803
162.0 -0.978450350793
169.28 -0.357886315291
176.72 0.710924137883
184.32 0.859334300401
192.08 -0.428514585285
200.0 -0.873297297214
208.08 0.67050173908
216.32 0.434869271756
224.72 -0.99538352275
233.28 0.718847926008
242.0 -0.0972119075182
250.88 -0.432633981885
259.92 0.739407745184
269.12 -0.870869317265
278.48 0.900859844934
288.0 -0.855504370751
297.68 0.697069433279
307.52 -0.348602869083
317.52 -0.217392210577
327.68 0.815946231616
338.0 -0.961389196822
348.48 0.234578112811
359.12 0.829626004169
369.92 -0.708896994872
380.88 -0.679652587187
392.0 0.643515060153
403.28 0.915254969206
414.72 0.029765329172
426.32 -0.805548683594
438.08 -0.98521443426
450.0 -0.683283725036
462.08 -0.26275837306
474.32 0.0604538083188
486.72 0.22492036514
499.28 0.231123140062
512.0 0.0795184940129
524.88 -0.231896473568
537.92 -0.65005456116
551.12 -0.973777826709
564.48 -0.845060144685
578.0 -0.0530233833456
591.68 0.872639430876
605.52 0.722479686183
619.52 -0.586108285506
633.68 -0.796640050724
648.0 0.739221300182
662.48 0.385777037508
677.12 -0.99430409474
691.92 0.695859660606
706.88 -0.0216512503395
722.0 -0.536522042161
737.28 0.838363214529
752.72 -0.952772029189
768.32 0.979947957548
784.08 -0.968257666916
